alert_packet_id,packet_start_plot_order_index,packet_end_plot_order_index,packet_row_count,rows_from_packet_start_to_broken,contains_pre_failure_alert,contains_failure_hit,contains_recovery_alert,contains_stable_normal_alert
1,5201,5205,3,11954,1,0,0,0
2,17872,17872,1,-717,0,0,0,1
3,17879,17901,14,-724,0,0,0,1
4,17911,17926,12,-756,0,0,0,1
5,17933,17957,18,-778,0,0,0,1
6,17963,18001,20,-808,0,0,0,1
7,18007,18041,22,-852,0,0,0,1
8,18047,18058,5,-892,0,0,0,1
9,18086,18089,2,-931,0,0,0,1
10,18095,18129,19,-940,0,0,0,1
11,18136,18188,33,-981,0,0,0,1
12,18194,18269,43,-1039,0,0,0,1
13,18275,18295,10,-1120,0,0,0,1
14,18303,18332,21,-1148,0,0,0,1
15,18340,18373,26,-1185,0,0,0,1
16,18379,18411,21,-1224,0,0,0,1
17,18954,18956,2,-1799,0,0,0,1
18,18965,18970,3,-1810,0,0,0,1
19,18980,18984,4,-1825,0,0,0,1
20,18990,18998,8,-1835,0,0,0,1
21,19009,19009,1,-1854,0,0,0,1
22,19015,19041,16,-1860,0,0,0,1
23,19047,19069,16,-1892,0,0,0,1
24,19082,19131,34,-1927,0,0,0,1
25,19149,19154,6,-1994,0,0,0,1
26,19459,19460,2,-2304,0,0,0,1
27,19523,19526,4,-2368,0,0,0,1
28,19536,19536,1,-2381,0,0,0,1
29,19637,19641,2,-2482,0,0,0,1
30,19661,19661,1,-2506,0,0,0,1
31,19680,19681,2,-2525,0,0,0,1
32,19688,19691,4,-2533,0,0,0,1
33,19698,19704,4,-2543,0,0,0,1
34,19876,19876,1,-2721,0,0,0,1
35,20783,20793,5,-3628,0,0,0,1
36,20833,20833,1,-3678,0,0,0,1
37,20867,20867,1,-3712,0,0,0,1
38,24564,24569,5,-7409,0,0,0,1
39,24819,24819,1,-7664,0,0,0,1
40,24846,24846,1,-7691,0,0,0,1
41,25340,25340,1,-8185,0,0,0,1
42,25369,25369,1,-8214,0,0,0,1
43,25442,25442,1,-8287,0,0,0,1
44,25817,25817,1,-8662,0,0,0,1
45,25874,25874,1,-8719,0,0,0,1
46,26005,26005,1,-8850,0,0,0,1
47,26053,26053,1,-8898,0,0,0,1
48,26135,26135,1,-8980,0,0,0,1
49,26224,26224,1,-9069,0,0,0,1
50,26265,26265,1,-9110,0,0,0,1
51,26393,26393,1,-9238,0,0,0,1
52,26503,26503,1,-9348,0,0,0,1
53,26517,26517,1,-9362,0,0,0,1
54,26713,26713,1,-9558,0,0,0,1
55,26725,26725,1,-9570,0,0,0,1
56,26762,26762,1,-9607,0,0,0,1
57,26907,26910,3,-9752,0,0,0,1
58,26916,26919,3,-9761,0,0,0,1
59,26937,26937,1,-9782,0,0,0,1
60,27161,27161,1,-10006,0,0,0,1
61,27191,27194,2,-10036,0,0,0,1
62,27238,27238,1,-10083,0,0,0,1
63,27247,27247,1,-10092,0,0,0,1
64,27333,27333,1,-10178,0,0,0,1
65,27584,27584,1,-10429,0,0,0,1
66,28013,28013,1,-10858,0,0,0,1
67,28172,28172,1,-11017,0,0,0,1
68,28198,28198,1,-11043,0,0,0,1
69,39631,39631,1,-22476,0,0,0,1
70,39660,39667,8,-22505,0,0,0,1
71,39682,39703,19,-22527,0,0,0,1
72,39710,39741,29,-22555,0,0,0,1
73,39747,39749,3,-22592,0,0,0,1
74,39763,39780,18,-22608,0,0,0,1
75,39792,39792,1,-22637,0,0,0,1
76,39799,40350,548,-22644,0,0,0,1
77,40367,40454,59,-23212,0,0,0,1
78,40466,40557,86,-23311,0,0,0,1
79,40570,40572,3,-23415,0,0,0,1
80,40582,40584,3,-23427,0,0,0,1
81,40592,40600,8,-23437,0,0,0,1
82,40612,41370,749,-23457,0,0,0,1
83,41411,41412,2,-24256,0,0,0,1
84,41424,41424,1,-24269,0,0,0,1
85,41480,41480,1,-24325,0,0,0,1
86,41504,41509,2,-24349,0,0,0,1
87,41553,41555,3,-24398,0,0,0,1
88,41562,41562,1,-24407,0,0,0,1
89,41598,41621,24,-24443,0,0,0,1
90,41644,41644,1,-24489,0,0,0,1
91,41652,41653,2,-24497,0,0,0,1
92,41660,41686,27,-24505,0,0,0,1
93,41790,41806,11,-24635,0,0,0,1
94,41815,41815,1,-24660,0,0,0,1
95,42589,42589,1,-25434,0,0,0,1
96,42977,42984,8,-25822,0,0,0,1
97,43004,43010,3,-25849,0,0,0,1
98,43260,44254,983,-26105,0,0,0,1
99,44263,45950,1684,-27108,0,0,0,1
100,45962,45969,5,-28807,0,0,0,1
101,45975,45978,3,-28820,0,0,0,1
102,45984,45985,2,-28829,0,0,0,1
103,45992,45992,1,-28837,0,0,0,1
104,45998,45998,1,-28843,0,0,0,1
105,46004,46051,45,-28849,0,0,0,1
106,46059,46521,427,-28904,0,0,0,1
107,46539,46543,2,-29384,0,0,0,1
108,46551,46553,3,-29396,0,0,0,1
109,46560,48662,2091,-29405,0,0,0,1
110,48695,49009,312,-31540,0,0,0,1
111,49251,49253,3,-32096,0,0,0,1
112,49264,49264,1,-32109,0,0,0,1
113,49272,49323,49,-32117,0,0,0,1
114,49331,49339,9,-32176,0,0,0,1
115,49354,49393,40,-32199,0,0,0,1
116,49406,49427,22,-32251,0,0,0,1
117,49442,49448,4,-32287,0,0,0,1
118,49675,49773,96,-32520,0,0,0,1
119,49785,49785,1,-32630,0,0,0,1
120,49852,50211,346,-32697,0,0,0,1
121,50299,50312,14,-33144,0,0,0,1
122,51561,51561,1,-34406,0,0,0,1
123,51569,51571,2,-34414,0,0,0,1
124,51578,51579,2,-34423,0,0,0,1
125,52188,52196,9,-35033,0,0,0,1
126,52203,52211,9,-35048,0,0,0,1
127,52230,52236,4,-35075,0,0,0,1
128,52243,52247,3,-35088,0,0,0,1
129,52260,52319,55,-35105,0,0,0,1
130,52325,52325,1,-35170,0,0,0,1
131,52331,52342,9,-35176,0,0,0,1
132,52349,53011,642,-35194,0,0,0,1
133,53032,53221,184,-35877,0,0,0,1
134,53232,53232,1,-36077,0,0,0,1
135,53238,54491,1238,-36083,0,0,0,1
136,54499,54499,1,-37344,0,0,0,1
137,54508,54522,15,-37353,0,0,0,1
138,54530,54566,27,-37375,0,0,0,1
139,54573,54579,5,-37418,0,0,0,1
140,54598,54608,6,-37443,0,0,0,1
141,54623,55864,1225,-37468,0,0,0,1
142,55871,55961,70,-38716,0,0,0,1
143,55968,56453,456,-38813,0,0,0,1
144,56462,56465,2,-39307,0,0,0,1
145,56491,57048,534,-39336,0,0,0,1
146,57110,57116,4,-39955,0,0,0,1
147,57125,57210,83,-39970,0,0,0,1
148,57218,57612,381,-40063,0,0,0,1
149,57618,58451,817,-40463,0,0,0,1
150,58457,58459,3,-41302,0,0,0,1
151,58467,60393,1901,-41312,0,0,0,1
152,60400,60400,1,-43245,0,0,0,1
153,60428,60428,1,-43273,0,0,0,1
154,60436,60441,2,-43281,0,0,0,1
155,60448,60448,1,-43293,0,0,0,1
156,60458,60637,167,-43303,0,0,0,1
157,60648,60653,4,-43493,0,0,0,1
158,60659,60911,249,-43504,0,0,0,1
159,60918,60920,3,-43763,0,0,0,1
160,60926,60926,1,-43771,0,0,0,1
161,60934,60962,24,-43779,0,0,0,1
162,60975,60993,14,-43820,0,0,0,1
163,61004,61605,599,-43849,0,0,0,1
164,61611,61619,9,-44456,0,0,0,1
165,61627,62395,762,-44472,0,0,0,1
166,62407,63850,1439,-45252,0,0,0,1
167,63858,63865,7,-46703,0,0,0,1
168,63880,64474,588,-46725,0,0,0,1
169,64550,64562,10,-47395,0,0,0,1
170,64568,64597,23,-47413,0,0,0,1
171,64603,64761,122,-47448,0,0,0,1
172,69992,69995,3,-52837,0,0,0,1
173,70017,70017,1,-52862,0,0,0,1
174,70046,70047,2,-52891,0,0,0,1
175,70064,70065,2,-52909,0,0,0,1
176,70096,70096,1,-52941,0,0,0,1
177,70283,70284,2,-53128,0,0,0,1
178,70290,70290,1,-53135,0,0,0,1
179,70423,70423,1,-53268,0,0,0,1
180,70678,70678,1,-53523,0,0,0,1
181,70705,70707,3,-53550,0,0,0,1
182,70716,70722,4,-53561,0,0,0,1
183,123324,123333,7,-106169,0,0,0,1
184,123819,123852,32,-106664,0,0,0,1
185,123869,123888,20,-106714,0,0,0,1
186,123905,123908,3,-106750,0,0,0,1
187,123974,124004,28,-106819,0,0,0,1
188,124033,124040,8,-106878,0,0,0,1
189,124086,124089,4,-106931,0,0,0,1
190,124213,124237,17,-107058,0,0,0,1
191,124276,124279,4,-107121,0,0,0,1
192,124285,124285,1,-107130,0,0,0,1
193,124298,124302,2,-107143,0,0,0,1
194,124308,124308,1,-107153,0,0,0,1
195,124334,124338,5,-107179,0,0,0,1
196,124350,124350,1,-107195,0,0,0,1
197,124356,124359,4,-107201,0,0,0,1
198,124404,124831,427,-107249,0,0,0,1
199,124845,125182,314,-107690,0,0,0,1
200,125194,125228,33,-108039,0,0,0,1
201,125234,125241,5,-108079,0,0,0,1
202,125247,125255,7,-108092,0,0,0,1
203,125262,125343,62,-108107,0,0,0,1
204,125572,125574,3,-108417,0,0,0,1
205,125580,125596,11,-108425,0,0,0,1
206,125602,125605,3,-108447,0,0,0,1
207,125611,125709,96,-108456,0,0,0,1
208,125810,128198,2386,-108655,0,0,0,1
209,128206,128206,1,-111051,0,0,0,1
210,128225,128227,3,-111070,0,0,0,1
211,128237,128257,20,-111082,0,0,0,1
212,128274,128278,5,-111119,0,0,0,1
213,128291,129033,731,-111136,0,0,0,1
214,129041,129048,4,-111886,0,0,0,1
215,129057,129722,654,-111902,0,0,0,1
216,129733,129742,4,-112578,0,0,0,1
217,129780,129783,3,-112625,0,0,0,1
218,129792,129792,1,-112637,0,0,0,1
219,129812,129817,2,-112657,0,0,0,1
220,129826,129831,3,-112671,0,0,0,1
221,129837,129839,3,-112682,0,0,0,1
222,129845,129923,64,-112690,0,0,0,1
223,129930,129943,8,-112775,0,0,0,1
224,129954,129995,29,-112799,0,0,0,1
225,130001,130033,20,-112846,0,0,0,1
226,130101,131121,993,-112946,0,0,0,1
227,131128,131180,46,-113973,0,0,0,1
228,131187,131203,15,-114032,0,0,0,1
229,131210,131232,23,-114055,0,0,0,1
230,131245,131259,15,-114090,0,0,0,1
231,131269,131327,52,-114114,0,0,0,1
232,131336,131391,48,-114181,0,0,0,1
233,131400,131410,10,-114245,0,0,0,1
234,131423,131492,62,-114268,0,0,0,1
235,131499,131548,47,-114344,0,0,0,1
236,131561,131722,139,-114406,0,0,0,1
237,131729,131729,1,-114574,0,0,0,1
238,131735,131790,45,-114580,0,0,0,1
239,131800,131839,30,-114645,0,0,0,1
240,131855,131867,13,-114700,0,0,0,1
241,131877,131900,23,-114722,0,0,0,1
242,131914,131949,25,-114759,0,0,0,1
243,131956,131970,15,-114801,0,0,0,1
244,131979,132046,63,-114824,0,0,0,1
245,132057,132981,871,-114902,0,0,0,1
246,132993,133189,195,-115838,0,0,0,1
247,133196,133476,275,-116041,0,0,0,1
248,133482,134339,833,-116327,0,0,0,1
249,134345,134385,39,-117190,0,0,0,1
250,134398,134952,529,-117243,0,0,0,1
251,134962,135003,36,-117807,0,0,0,1
252,135015,135082,66,-117860,0,0,0,1
253,135088,135148,61,-117933,0,0,0,1
254,135155,135247,83,-118000,0,0,0,1
255,135254,135254,1,-118099,0,0,0,1
256,135262,135279,18,-118107,0,0,0,1
257,135287,135303,13,-118132,0,0,0,1
258,135311,135379,58,-118156,0,0,0,1
259,135385,135396,9,-118230,0,0,0,1
260,135407,135422,14,-118252,0,0,0,1
261,135431,135442,9,-118276,0,0,0,1
262,135463,135469,7,-118308,0,0,0,1
263,135487,135498,8,-118332,0,0,0,1
264,135507,135511,5,-118352,0,0,0,1
265,135527,135550,21,-118372,0,0,0,1
266,135558,135583,23,-118403,0,0,0,1
267,135589,135589,1,-118434,0,0,0,1
268,135604,135618,12,-118449,0,0,0,1
269,135627,135646,18,-118472,0,0,0,1
270,135653,135664,9,-118498,0,0,0,1
271,135672,135672,1,-118517,0,0,0,1
272,135679,135685,7,-118524,0,0,0,1
273,135691,135706,16,-118536,0,0,0,1
274,135720,135777,49,-118565,0,0,0,1
275,135783,135859,69,-118628,0,0,0,1
276,135869,135870,2,-118714,0,0,0,1
277,135879,135883,5,-118724,0,0,0,1
278,135889,135892,4,-118734,0,0,0,1
279,135898,135904,7,-118743,0,0,0,1
280,135914,135943,24,-118759,0,0,0,1
281,135953,136198,202,-118798,0,0,0,1
282,136208,136228,21,-119053,0,0,0,1
283,136234,136273,34,-119079,0,0,0,1
284,136280,136301,20,-119125,0,0,0,1
285,136307,136470,158,-119152,0,0,0,1
286,136477,136585,96,-119322,0,0,0,1
287,136592,136627,35,-119437,0,0,0,1
288,136633,136797,146,-119478,0,0,0,1
289,136823,136826,4,-119668,0,0,0,1
290,136861,136861,1,-119706,0,0,0,1
291,136879,136885,7,-119724,0,0,0,1
292,136892,136902,11,-119737,0,0,0,1
293,136910,136914,5,-119755,0,0,0,1
294,136920,136996,67,-119765,0,0,0,1
295,137028,137033,5,-119873,0,0,0,1
296,137050,137052,3,-119895,0,0,0,1
297,137068,137082,15,-119913,0,0,0,1
298,137097,137109,10,-119942,0,0,0,1
299,137117,137123,4,-119962,0,0,0,1
300,137141,137152,12,-119986,0,0,0,1
301,141130,141133,3,-123975,0,0,0,1
302,141147,141169,19,-123992,0,0,0,1
303,141187,141193,7,-124032,0,0,0,1
304,141199,141269,71,-124044,0,0,0,1
305,141275,141296,15,-124120,0,0,0,1
306,141302,141343,39,-124147,0,0,0,1
307,145977,145977,1,-128822,0,0,0,1
308,146009,146009,1,-128854,0,0,0,1
309,147461,147461,1,-130306,0,0,0,1
310,147477,147481,4,-130322,0,0,0,1
311,148074,148074,1,-130919,0,0,0,1
312,149386,149396,7,-132231,0,0,0,1
313,149417,149429,10,-132262,0,0,0,1
314,149442,149450,5,-132287,0,0,0,1
315,149457,149459,3,-132302,0,0,0,1
316,149466,149492,18,-132311,0,0,0,1
317,149500,149505,3,-132345,0,0,0,1
318,149522,149529,6,-132367,0,0,0,1
319,149567,149567,1,-132412,0,0,0,1
320,149588,149595,6,-132433,0,0,0,1
321,149663,149665,2,-132508,0,0,0,1
322,149678,149681,2,-132523,0,0,0,1
323,149925,149932,8,-132770,0,0,0,1
324,149955,149958,2,-132800,0,0,0,1
325,149977,149985,4,-132822,0,0,0,1
326,150280,150298,11,-133125,0,0,0,1
327,150348,150353,2,-133193,0,0,0,1
328,150445,150445,1,-133290,0,0,0,1
329,150507,150507,1,-133352,0,0,0,1
330,152595,152598,4,-135440,0,0,0,1
331,152623,152623,1,-135468,0,0,0,1
332,152799,152799,1,-135644,0,0,0,1
333,153080,153088,6,-135925,0,0,0,1
334,153115,153117,2,-135960,0,0,0,1
335,153135,153135,1,-135980,0,0,0,1
336,153159,153161,3,-136004,0,0,0,1
337,153244,153245,2,-136089,0,0,0,1
338,153296,153296,1,-136141,0,0,0,1
339,153320,153323,3,-136165,0,0,0,1
340,153352,153352,1,-136197,0,0,0,1
341,153448,153452,3,-136293,0,0,0,1
342,153849,153849,1,-136694,0,0,0,1
343,153880,153880,1,-136725,0,0,0,1
344,153893,153895,2,-136738,0,0,0,1
345,153918,153925,7,-136763,0,0,0,1
346,153931,153940,8,-136776,0,0,0,1
347,153951,153956,4,-136796,0,0,0,1
348,153962,153962,1,-136807,0,0,0,1
349,153993,153993,1,-136838,0,0,0,1
350,154032,154032,1,-136877,0,0,0,1
351,154096,154105,7,-136941,0,0,0,1
352,154131,154135,5,-136976,0,0,0,1
353,154168,154172,4,-137013,0,0,0,1
354,154279,154283,2,-137124,0,0,0,1
355,154316,154319,2,-137161,0,0,0,1
356,154878,154893,14,-137723,0,0,0,1
357,155007,155169,160,-137852,0,0,0,1
358,155318,155337,19,-138163,0,0,0,1
359,155344,155356,9,-138189,0,0,0,1
360,155366,155367,2,-138211,0,0,0,1
361,155381,155381,1,-138226,0,0,0,1
362,155392,155429,33,-138237,0,0,0,1
363,155438,155443,6,-138283,0,0,0,1
364,155457,155459,3,-138302,0,0,0,1
365,155466,155479,11,-138311,0,0,0,1
366,155485,155492,5,-138330,0,0,0,1
367,155498,155498,1,-138343,0,0,0,1
368,155514,155528,15,-138359,0,0,0,1
369,155710,155716,3,-138555,0,0,0,1
370,155796,155796,1,-138641,0,0,0,1
371,156042,156050,8,-138887,0,0,0,1
372,156056,156058,2,-138901,0,0,0,1
373,156125,156125,1,-138970,0,0,0,1
374,156240,156251,11,-139085,0,0,0,1
375,156412,156414,2,-139257,0,0,0,1
376,156420,156421,2,-139265,0,0,0,1
377,156634,156639,6,-139479,0,0,0,1
378,156941,156941,1,-139786,0,0,0,1
379,156962,156967,6,-139807,0,0,0,1
380,157098,157098,1,-139943,0,0,0,1
381,157144,157144,1,-139989,0,0,0,1
382,157344,157344,1,-140189,0,0,0,1
383,157362,157372,4,-140207,0,0,0,1
384,157452,157452,1,-140297,0,0,0,1
385,157556,157556,1,-140401,0,0,0,1
386,157589,157605,13,-140434,0,0,0,1
387,157633,157633,1,-140478,0,0,0,1
388,157640,157640,1,-140485,0,0,0,1
389,158990,158999,8,-141835,0,0,0,1
390,159710,159715,6,-142555,0,0,0,1
391,160033,160038,4,-142878,0,0,0,1
392,160206,160209,3,-143051,0,0,0,1
393,160220,160221,2,-143065,0,0,0,1
394,160228,160228,1,-143073,0,0,0,1
395,160263,160280,15,-143108,0,0,0,1
396,160305,160305,1,-143150,0,0,0,1
397,160435,160445,10,-143280,0,0,0,1
398,160456,160498,29,-143301,0,0,0,1
399,160565,160565,1,-143410,0,0,0,1
400,160631,160636,5,-143476,0,0,0,1
401,160682,160689,6,-143527,0,0,0,1
402,160880,160880,1,-143725,0,0,0,1
403,160890,160891,2,-143735,0,0,0,1
404,160989,160989,1,-143834,0,0,0,1
405,161084,161084,1,-143929,0,0,0,1
406,161222,161222,1,-144067,0,0,0,1
407,161242,161248,4,-144087,0,0,0,1
408,161280,161281,2,-144125,0,0,0,1
409,161290,161291,2,-144135,0,0,0,1
410,161495,161495,1,-144340,0,0,0,1
411,161990,161990,1,-144835,0,0,0,1
412,162358,162366,8,-145203,0,0,0,1
413,162588,162588,1,-145433,0,0,0,1
414,162600,162601,2,-145445,0,0,0,1
415,162649,162651,2,-145494,0,0,0,1
416,162658,162663,6,-145503,0,0,0,1
417,162669,162669,1,-145514,0,0,0,1
418,162678,162691,13,-145523,0,0,0,1
419,162706,162718,4,-145551,0,0,0,1
420,162729,162731,3,-145574,0,0,0,1
421,162738,162738,1,-145583,0,0,0,1
422,162765,162766,2,-145610,0,0,0,1
423,162775,162777,2,-145620,0,0,0,1
424,162785,162785,1,-145630,0,0,0,1
425,162792,162798,4,-145637,0,0,0,1
426,162832,162837,3,-145677,0,0,0,1
427,162851,162851,1,-145696,0,0,0,1
428,162857,162863,5,-145702,0,0,0,1
429,162927,162936,6,-145772,0,0,0,1
430,163042,163042,1,-145887,0,0,0,1
431,163056,163056,1,-145901,0,0,0,1
432,163103,163105,3,-145948,0,0,0,1
433,163191,163197,5,-146036,0,0,0,1
434,163212,163215,4,-146057,0,0,0,1
435,163226,163226,1,-146071,0,0,0,1
436,163247,163249,2,-146092,0,0,0,1
437,163277,163277,1,-146122,0,0,0,1
438,163351,163357,5,-146196,0,0,0,1
439,163386,163395,8,-146231,0,0,0,1
440,163402,163402,1,-146247,0,0,0,1
441,163490,163496,6,-146335,0,0,0,1
442,163523,163523,1,-146368,0,0,0,1
