feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sensor_00,-0.0019926209306921857,0.07644257044364397,0.2401777787043926,-0.02647663896878094,0.9135518272442283,-0.016030753781023935,0.19076221162356274,-0.18170286040114875,-0.0864143299518606,0.024122918816347486
sensor_01,0.00037237281692684143,0.014073338211475384,0.048273413062410175,0.004507605241415099,-0.04158738829330032,-0.0061807352304196865,0.02103317336418499,0.009789342436583554,-0.017718755023917787,0.03302353303349144
sensor_02,-0.0021159565543765746,0.025050932007363802,0.08379157892289923,0.004403463306819093,-0.030361399287018503,-0.0025674366651505087,0.007205565840557385,-0.010198288275697298,0.007944089791526134,0.031109963413062613
sensor_03,-0.0010020894165913008,0.013737812589299958,0.04466058792364036,-0.0006055247309580888,-0.030132741610984795,-0.003789882054163569,0.00866704173101554,0.010336846687299728,-0.020148449839946334,0.057595686427180236
sensor_04,-0.010356751124663124,0.22988670195363745,0.908476892960772,0.05153135856815175,-0.23763945769541123,0.00963228725929322,-0.08802659641775801,-0.030961062514268944,0.0885247179158487,-0.023771554069449592
sensor_05,-0.0009052295738317548,0.02549947052260546,0.016788426678397493,-0.0024955578697484215,0.12045593431450488,0.00536780493669238,-0.014581068119108087,0.029005631426374634,0.04473540623346143,-0.01639999403215244
sensor_06,0.0006822548572602494,0.042375680579534634,0.03714792772599062,-0.0007049859134177217,0.05283886455942591,-0.002435773785364791,-0.03885349463278531,0.15667473957392114,-0.013655577272443334,0.01698490666496259
sensor_07,-0.0014292658831871398,0.10439781247385198,0.018333091472413222,0.00821016317457507,0.024678777526549022,0.007193527498082941,-0.04229605813862436,0.4697555340146681,-0.15878442744688226,-0.08384198887966261
sensor_08,-0.0010050529972096727,0.08625539751354326,0.039553861032915895,-0.0008810318021078237,0.09739164458635237,-0.007021430429070219,0.028505720451957327,0.6492441256877555,-0.4875618482824645,-0.10282085500279253
sensor_09,-0.012486817288482626,0.9572351533196329,-0.2571962155068929,-0.010964411883141692,-0.033941890117877176,-0.0013069732839811124,0.0038001426811274733,-0.11190661824833785,0.028556565690844686,0.012346679984021055
sensor_10,-0.0002689440174894059,0.03188550217026621,0.11062799702619464,0.0061472810674585735,0.012755625265256006,-0.005249485779817473,0.005038278176408326,-0.0006682649590565165,0.017655486351501354,0.006860751480585861
sensor_11,-0.0005191159114402171,0.020746435727340487,0.070567632268387,0.0029282405802460868,0.008819078740198855,0.006287733207090057,-0.00794140662289735,0.028678411927663044,-0.008555298456012758,0.0280097495282172
sensor_12,-0.0008025770734767471,0.02465746746438714,0.09175607958197693,-0.007584163341960709,0.013182225208354771,-0.01460902457004332,-0.014151795431910802,0.03457063242587177,-0.0008053510158385693,0.06394730177752063
sensor_13,0.0014891226620760737,0.004097228741372191,0.011712935395370175,0.0009683592029929025,0.0010365466295560863,-0.005408408841293979,-0.00802604237174756,0.03410287536812335,-0.018767973157061385,0.039150664290792565
sensor_14,0.43042624823392617,0.005665440903163615,-0.028624302292355814,0.7174167643914615,0.030167477485328678,-0.3126114655675327,-0.006261689537679721,-0.02054311021648953,-0.0019413627958913687,-0.08292017210669134
sensor_16,0.2767829154475547,0.00442292047365047,-0.019435958535247693,0.39979505294267326,0.006019396454029085,0.3511798983841038,0.03265411426893486,0.03448448866203649,-0.019465407391621066,0.5301179401948845
sensor_17,0.10424943272093956,0.003166081559689702,-0.00023117604008478416,0.13409131026928872,0.012089577420129696,0.6705235093194382,0.031006091875945607,-0.011299734845042583,0.03076284365861348,-0.42700116383076536
sensor_18,0.054759877080341954,0.0030809730633235837,0.005119697476131826,0.03410334827979053,0.013531313275349602,0.40643649554107686,0.018844790104680563,-0.015761653408923083,0.03197719758029245,-0.2321019268219196
sensor_19,0.5100792857475477,0.005963521231858696,0.009857374888200118,-0.18570027856261914,-0.01662542111726266,-0.09575439366455667,-0.02833977837416071,0.0018413908919748742,-0.01593798244387714,-0.3429660475835625
sensor_20,0.5577403216737197,0.008562866606008962,0.021532701821933235,-0.34284818892780444,-0.00870878746201656,-0.16583586893698168,-0.009682221483677561,-0.01428296550586361,0.02159363884426807,-0.09880249658368497
sensor_21,0.3762547597221367,0.007318140692295721,0.0222519556363124,-0.37504589833465474,-0.010911288696554715,0.1913761068305375,0.018033418333700403,0.017115774565567975,-0.0011933004906490852,0.4493574919178882
sensor_22,0.03095892398113487,0.002408315279056197,-0.0018983473624530033,-0.01003129709430648,0.00021644135581795084,-0.004753690587827576,-0.013071367627241919,0.019868732157424168,0.004433538728846657,-0.002383533151850685
sensor_23,0.022696719448224788,0.0014082016456198583,-0.0031271198098216397,-0.013730027912763669,0.004789621397910378,-0.002446269430228446,-0.006841782422255463,0.027988534194249296,-0.0074392743268212585,0.04054334688744293
sensor_24,0.07313844191688629,-0.0020863406226575678,-0.0015260522210653275,-0.04478383705160705,0.0019521913242905166,0.048558257397899734,0.019606422018510913,-0.02125493531280852,-0.019515607062816614,-0.00318259035622279
sensor_25,0.04328276245726916,0.0031176602435024903,-0.0006892219923560859,-0.007094221521611075,0.00212000538430998,-0.005896415098966455,-0.01165557720039698,0.005297093781499996,0.023401477227288615,0.004370891004398653
sensor_26,0.02124104286150364,0.0025940901718706456,-0.0022762070085318407,-0.01951354877326151,0.00031109632070845666,0.01657358803921512,-0.002418054580030674,0.0009597034640704827,0.0016151510767454594,0.02902525585242312
sensor_27,0.008936708563576834,-0.00039763406727539647,0.0009156547125199552,-0.030144785365899512,0.017143616576629005,0.17803928876246933,0.01839162842328959,0.03871858507032037,-0.046824351208423674,0.11767028765483917
sensor_28,0.010677721599788668,-0.003820149606129096,-0.011038174404352718,-0.015414595411942964,-0.005140293798847826,0.03542329082797553,0.013260631996591069,-0.041161665639990866,-0.0033492013681302307,-0.012518493493489468
sensor_29,0.007891872544434091,-0.0015320089398235459,0.00514610214105003,-0.006672766988983292,-0.00736596450868527,0.0394120169005706,0.011310897968170008,-0.034410320046097606,-0.01183302974510823,-0.01967223824212681
sensor_30,0.026541640468785994,-0.0004732127828721818,-0.009099325061231336,-0.06436147340308919,-0.002116271241629439,0.13867043407760996,-0.004854080261626634,0.03786706082676228,-0.03151719546078022,0.13592106181171376
sensor_31,0.01762624259549315,-0.0021110708268022573,-0.014181545170818518,-0.03683711811679926,-0.009029606214022982,0.12127248646414585,0.004071418758297746,-0.02330296122318166,-0.008492384386359589,0.022430436741389857
sensor_32,0.013441195172876457,-0.00020149428860516945,-0.00909358681709413,-0.01800097412937839,-0.002573868652257017,0.06657115649819857,0.001437748167832903,-0.0046417379950192215,-0.010495030395152084,0.022801536044338676
sensor_33,0.02167554750480912,-0.0026165545165460964,-0.0014603749426481518,-0.01028433292720911,-0.011532352141594928,0.10030736150007824,0.01729985501720581,-0.02354760784622738,-0.023766240586301845,-0.017164071969058378
sensor_34,0.004030917010134937,0.0021807798151620233,0.00232234735601556,0.003601653236503616,0.003691175174112789,0.006234600853587527,0.000805402773685022,0.0028583287949888077,0.006580263154024073,-0.00697853290866122
sensor_35,0.006579455554822392,0.0013025586602678134,-0.00497808107702012,0.005217225985368717,0.00588800568789795,0.017151955575313155,-0.002454076273477086,0.029389515152229186,0.0003046675193874946,0.017548729521935796
sensor_36,0.0034967119903066674,0.001613331749411559,0.0005874618461654557,-0.0002685226495220142,0.004341770133182986,-0.00405187628420923,-0.0039659319975509245,0.0163591540999434,0.002630510454394137,0.005080593851598433
sensor_37,-0.0013476262719484173,-0.0024971499647226778,-0.0012153333544226805,-0.0007718501874395892,-0.0023051221905135734,0.004438158785432786,0.02308561797413341,-0.030326050136022062,0.004160295103494239,-0.029338526975381522
sensor_38,-0.0004529988290806955,0.008777263827061855,0.029889177234112437,0.00316591667200507,-0.05078180529284628,-0.004404554222904972,0.21451753325397374,0.03344214140529794,0.018733712465980188,0.0024942161835853002
sensor_39,0.000584455832725843,0.0014358642741574101,-0.0008391217667878434,-0.0023251517894978292,-0.11351673443817867,-0.02962667901422457,0.6058333461237444,0.02345870303037536,0.04856331895277602,-0.07362758041664398
sensor_40,0.0006063396301265715,0.008573981477297219,0.028323713197508423,-0.0012448159994339978,-0.028447289374327053,-0.0031416032102292712,0.15443497255893646,0.045983874834704105,-0.0021843480829531908,0.01750732823019417
sensor_41,-0.00012231604277533514,0.0019563767750975314,0.017116941401395507,-0.0003339185052583641,-0.07317710727110606,-0.019213955427683636,0.30040759233731124,0.011585272142395159,0.04483745811363883,-0.013927470890224884
sensor_42,0.0004307845249800432,-0.0007783798007665521,0.008722348043533399,-0.003672998404265735,-0.08652040535788977,-0.03410459211505207,0.5553546244657487,0.0032179281542881327,0.0642875944884283,-0.034593826864603404
sensor_43,0.00043105411360202915,0.002943940839922128,0.02309451273442118,-0.003822888073465549,-0.05556119354900193,-0.012807895873345451,0.2849650457767011,0.034336638576040995,0.0279168591599618,0.012321682769213867
sensor_44,0.0012665654785685727,0.007297442832972638,0.0197664586500776,-0.0004478423745725605,-0.02624739795484392,-0.012949675858326792,0.05569898059165389,0.1181066689360023,0.014634232130530112,0.12405601033299546
sensor_45,0.0013029919394862619,0.007358509772273281,0.019737201823343903,-0.0005446451579120981,-0.025987617931946556,-0.019518463695677613,0.05937336909436781,0.13599778674046986,0.007523231300984534,0.15224360081391716
sensor_46,0.0011971011638800884,0.006327467248404936,0.019612222431345454,-0.0018075421881447167,-0.024568531542843,-0.01523404432248325,0.08996182262028571,0.09491069497424418,0.0015542870032852832,0.09364085371888964
sensor_47,0.0009662712092744846,0.007663772444263832,0.020865795660708498,0.0013347717970133624,-0.027061268588561033,-0.016158670696781313,0.0848756847324954,0.07190809923793817,0.007422429459375504,0.07898123339530314
sensor_48,0.0014623264100414846,0.005719682913797408,0.01869424922946464,0.0015592326144868722,0.0034454277211121253,-0.008166708407323572,-0.006761945326701001,0.05018147463774136,0.005200295377194852,0.04619074150274623
sensor_49,0.0015095532814441133,0.009270119629776656,0.028707759179177218,0.000590992878975523,-0.013561375659617143,-0.01585992266326533,0.023251643735628227,0.12675778747292493,0.06095392121939698,0.11651413205636313
sensor_51,0.0007734374022655421,0.018487078309136137,-0.0439109592299062,-0.002815751451777291,0.19717855470856205,-0.006202322606818522,-0.0734310551153092,0.4460785576326931,0.833849030566288,-0.02817309054940348
